2019-04-27 00:06:39.197 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:39.594 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:39.595 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:40.589 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:40.591 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:41.592 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:41.594 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:42.302 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:42.303 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:42.597 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:42.598 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:43.602 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:43.613 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:44.604 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:44.604 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:44.604 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:44.604 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2019-04-27 00:06:44.605 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.610 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.611 [Thread-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2019-04-27 00:06:44.613 [Thread-24] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-04-27 00:06:44.618 [Thread-24] INFO  o.a.s.session.mgt.AbstractValidatingSessionManager - Disabled session validation scheduler.
2019-04-27 00:06:44.623 [Thread-24] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
